,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,y,Tau_inv_std,Bo_std,time
0,0.12544619979713456,-0.809474467687032,0.3864440413024346,-0.5184317859353365,0.8605363653017262,-0.016072859713628374,-0.22079987769322584,-0.8865392070392846,0.563169464218807,0.24812380226378528,-0.2857418745651139,0.6968867812876787,-0.472546148982117,0.4065379242590206,-0.9669067097536033,-0.6287746192686179,0,0.017760390094346865,0.8768254048530769,180
1,-0.5921645881402304,0.3725103449939633,-0.18462947332767476,-0.5111401118620131,-0.14747252822576362,0.57128563701578,0.06615892987433902,-0.5854240162851183,-0.761717292731749,-0.3558869137394427,-0.5186595884118315,0.6751765109421264,-0.49017845227216195,0.7064565262612821,0.016077508514809713,-0.41958608227371763,1,0.017760390094346865,0.8768254048530769,180
2,0.21860143630542117,-0.1840954472344689,0.19800457577236874,-0.016124132970836147,0.6733051909713341,-0.5666035361712998,-0.27189648806077815,-0.085007466398203,-0.1685681790004243,0.5484352551751499,0.8647131247900532,0.40210369892992337,-0.7170640421207426,0.7248966642788992,-0.8417710422260773,0.5174444410903378,1,0.017760390094346865,0.8768254048530769,180
3,-0.4115270647047411,0.050286610759384454,-0.41427986039978726,-0.24366183741491354,0.8527665242467481,-0.9216795212160043,-0.6145356951090646,-0.49477518417723676,0.9556660746583672,0.7303145134055684,-0.07848534346985758,-0.2730154158033298,-0.12504793741401277,-0.8431514500580541,0.33070008740591317,-0.7523350671433362,0,0.017760390094346865,0.8768254048530769,180
4,-0.5506073748379203,0.6841397792123469,-0.1018348553937618,0.15093732129106097,0.07476166128553596,0.7241997460295975,-0.9660614997644197,-0.30907466070553147,0.41131349452996946,0.2728329726165324,-0.8698551245198594,0.12411421119192445,0.023569689122210802,0.30146217124360297,0.5177661366268957,0.6618882391680598,1,0.017760390094346865,0.8768254048530769,180
5,-0.8714068372968282,0.779215915328495,0.572564858472584,0.6037712632952597,-0.873879822214571,-0.34543194089812546,-0.8543205921936738,-0.1625012238568797,0.8934440653112621,0.33655193702402775,-0.04360351778565774,-0.6802274931807675,-0.8912638908335022,0.5160397109531631,0.6144911329952121,-0.8948555921284063,0,0.017760390094346865,0.8768254048530769,180
6,-0.634101342494382,0.5543173960945476,0.684907801183791,0.2057743703495436,-0.8665664092861003,0.44386659451356625,0.6472746449037512,-0.8312246332118327,-0.4454327393668496,-0.868877755002293,-0.2114977204567554,-0.5341916209256101,0.7448860823880652,0.20127268418779098,-0.8961996205533127,0.7839190505031222,1,0.017760390094346865,0.8768254048530769,180
7,-0.30715001349101057,-0.3498452313934588,0.29934916893994856,-0.10698309568752506,-0.16042313252877372,0.2948136168919868,0.930064816495747,0.6569721873394352,-0.8887444994926623,0.22583449725500326,0.10376572264398343,-0.8100972701157931,0.5637739631390941,0.8699257379169458,0.35062075190741115,0.20775279560127502,0,0.017760390094346865,0.8768254048530769,180
8,-0.21300265429656595,0.4129705043751226,-0.2672896073266533,0.837145573846753,-0.004112321425711718,-0.16036038281330534,0.096113078870111,0.9309233887498356,-0.24893365951537372,0.24036664329597346,0.19829505605473297,0.48998881042776365,0.5093071609054469,-0.17674161875437155,-0.6535296600430902,0.9706227142693507,1,0.017760390094346865,0.8768254048530769,180
9,-0.6927723079472454,0.3441557389137786,-0.7998237807218098,0.1769921401522443,0.9999728154167149,-0.5370578287246448,-0.6267768580898057,0.25947650723968696,-0.554901331617413,-0.8757723963051822,0.373288411675607,0.5505836460826115,0.48443560580008427,0.8195871439497653,0.8136171292728225,0.032960411130481315,0,0.017760390094346865,0.8768254048530769,180
0,0.04804621874954207,-0.7718208743900794,0.14113443353286992,-0.1883289345782997,-0.6357317714513024,-0.6865274808069262,-0.3617606603148702,-0.33562483275669197,0.4267500929547188,0.4044431455142006,-0.2563670993544953,0.6779723254738053,0.9018436350849555,-0.5187350406169928,0.7445498249490627,-0.03189274583972579,0,0.017760390094346865,0.8768254048530769,181
1,0.9265258143251127,-0.1734169066999378,-0.4189869354326792,-0.3238623046579925,0.25588670929570667,-0.8721583675904139,-0.9734332463195356,-0.16692754256658526,0.976574675426519,0.42052563683600286,-0.020170202947775495,0.28678930784116474,-0.44564493944597783,-0.12702880179896847,-0.9593299018280244,0.4898371898671876,1,0.017760390094346865,0.8768254048530769,181
