,B_0,B_1
0,0.0,0.0
1,-0.00021822822352568494,-0.0021811017847956915
2,-0.0004527341683897568,-0.0043288985449299044
3,-0.0007028989680186726,-0.006443346601898492
4,-0.000970538036047186,-0.008523371495567034
5,-0.0012565691662839162,-0.010569093436445853
6,-0.0015612386372660936,-0.012579739984822091
7,-0.0018862951291238605,-0.014555825883368345
8,-0.002232294913381727,-0.01649633273001716
9,-0.0025995697111754756,-0.018400477801724602
10,-0.0029896440502628074,-0.020268965697307184
11,-0.0034035629555966285,-0.022100873051017045
12,-0.0038417433437438753,-0.023895814631520795
13,-0.004305225667643353,-0.025653644474482817
14,-0.0047950416643334215,-0.027373958221556194
15,-0.005311809287108948,-0.02905712287577722
16,-0.005855980640020131,-0.030702203966501473
17,-0.006429498135470224,-0.032308670908806736
18,-0.0070342482552651076,-0.033877706126327234
19,-0.0076678971493703285,-0.03540754537755886
20,-0.008333546581215545,-0.03689854473290344
21,-0.009031349366683816,-0.03835075751589567
22,-0.009762000469996868,-0.03976350538345863
23,-0.01052766350323231,-0.04113733895232441
24,-0.011327137221859962,-0.04247106074080631
25,-0.012162996731459375,-0.04376550446933225
26,-0.013035517923636553,-0.04502028682348036
27,-0.013945050567015893,-0.04623457149553967
28,-0.014893368067292911,-0.04740898524050574
29,-0.015880435690742933,-0.04854296934905766
30,-0.01690636889309083,-0.04963700192035958
31,-0.01797399739606642,-0.05069069727354791
32,-0.01908228813340318,-0.051703190764034734
33,-0.02023346870588738,-0.05267578471136136
34,-0.021427177614512183,-0.053607482115268335
35,-0.022664973673715005,-0.054498791592278995
36,-0.023946810355560788,-0.05534947567883719
37,-0.025273786080238336,-0.05615946513473424
38,-0.026646746868691285,-0.05692838458870941
39,-0.028066285157892557,-0.05765687615773907
40,-0.029533669933205497,-0.05834482050421663
41,-0.031048506356070482,-0.05899221429358514
42,-0.03261225515629085,-0.05959878792319473
43,-0.03422530174900462,-0.06016492764110837
44,-0.03588896471577563,-0.06069031405522729
45,-0.03760316351051074,-0.06117581838543251
46,-0.03936885254640088,-0.061620754532759725
47,-0.041186335625391424,-0.06202580689115855
48,-0.043056534076344466,-0.0623902777661105
49,-0.04497993430380964,-0.06271529188177533
50,-0.04695778329747902,-0.06299979270889755
51,-0.04898942465940137,-0.06324523086650297
52,-0.05107695531591405,-0.06345094683837416
53,-0.05321909123183777,-0.06361716058756467
54,-0.055417634804788674,-0.06374471320767983
55,-0.05767316577433523,-0.0638331635784789
56,-0.05998616213702568,-0.06388264894391521
57,-0.06235655448112998,-0.06389384786516594
58,-0.06478524396400975,-0.0638664238869111
59,-0.06727261242669902,-0.06380108431471537
60,-0.06981910769476429,-0.06369809726222936
61,-0.07242570037836105,-0.06355778311252719
62,-0.07509184689525172,-0.06337948463721538
63,-0.07781839483034958,-0.06316490540453268
64,-0.08060639234820088,-0.06291349359653342
65,-0.08345562323062894,-0.06262599809549674
66,-0.08636623824956707,-0.06230195088766377
67,-0.08933928198774,-0.06194247654569629
68,-0.09237458029897994,-0.06154758964508955
69,-0.09547257812058768,-0.06111775249394957
70,-0.0986336119537618,-0.06065319387219825
71,-0.10185830166832105,-0.06015455900944855
72,-0.10514649590200809,-0.05962190289592645
73,-0.10849882980775383,-0.059055901910458175
74,-0.11191464727322531,-0.05845736455710271
75,-0.11539599321841987,-0.057825464162805096
76,-0.11894130607798786,-0.05716176418679719
77,-0.12255181761359712,-0.05646623843745119
78,-0.1262276089819372,-0.055739323387114736
79,-0.12996825698477565,-0.0549816139007307
80,-0.13377455279964845,-0.05419375226839829
81,-0.1376466525128036,-0.053375971552021007
82,-0.1415842028445513,-0.05252868474961464
83,-0.14558762215170884,-0.05165250064966875
84,-0.1496569146918857,-0.05074832000422591
85,-0.15379237921215483,-0.04981640141178301
86,-0.15799380881667663,-0.048856897087007745
87,-0.16226158121797846,-0.04787048746632194
88,-0.16659526669578378,-0.046858230402402334
89,-0.17099585515502624,-0.04582032832522298
90,-0.17546196223020738,-0.04475713974045242
91,-0.1799946319048843,-0.043669460182780506
92,-0.18459320514795552,-0.042558310378815745
93,-0.18925821524921083,-0.04142380975280552
94,-0.19398866313309815,-0.04026633941318475
95,-0.19878582745054885,-0.039087184349018145
96,-0.2036483412808745,-0.03788612481823728
97,-0.20857730963039933,-0.03666463888349719
98,-0.2135712979644513,-0.035423097094746336
99,-0.21863073558700774,-0.034161679621002805
100,-0.22375589178655736,-0.032882145269042706
101,-0.2289461260094917,-0.03158377458285566
102,-0.23420158681475534,-0.030267834586396813
103,-0.23952135066406555,-0.028935608461516882
104,-0.24490615767990498,-0.027586862320712502
105,-0.2503547767584947,-0.026222809103712164
106,-0.25586790849001256,-0.0248439056567068
107,-0.26144453322062944,-0.023452039892169263
108,-0.26708445804701914,-0.02204544796294272
109,-0.27278803103008625,-0.020627385466516324
110,-0.27855398307716595,-0.019196524052582098
111,-0.28438292427526357,-0.01775504206039763
112,-0.29027413770460125,-0.016303530871807748
